0_config,numCycles,iqFullEvents,cpi,ipc,enterRA,totalCyclesRA,cyclesAvgRA,pctRobEmptyRA,totalDecodedRA,l1Miss,l1MissRA,icacheStallCycles,fullRegistersEvents,l2Miss,l2MissRA,freeRegsAvg,iqFullRa,fullROBstalls
base_bzip2d_rob128_128kB,390270865,0,2.195153,0.455549,1041603,,,,22286197,1657240,,46761471,,1065377,,,,218638364
base_bzip2d_rob128_256kB,377329995,0,2.122365,0.471173,982909,,,,21268567,1636043,,46755444,,1004639,,,,206562799
base_bzip2d_rob128_64kB,396306066,0,2.229099,0.448612,1070630,,,,22947955,1684079,,46773851,,1095540,,,,224540408
base_bzip2d_rob160_128kB,388851737,283,2.187171,0.457212,1003607,,,,17018711,1656101,,47339941,,1065791,,,,216216811
base_bzip2d_rob160_256kB,375886745,272,2.114247,0.472982,945496,,,,16298216,1645369,,47326270,,1005253,,,,204191982
base_bzip2d_rob160_64kB,394840380,388,2.220855,0.450277,1032698,,,,17375674,1675977,,47355548,,1096017,,,,222082002
base_bzip2d_rob192_128kB,388651216,6882,2.186043,0.457448,1002710,,,,20924418,1654088,,47885860,,1065830,,,,209501898
base_bzip2d_rob192_256kB,375660294,5920,2.112973,0.473267,944605,,,,20206493,1641032,,47857193,,1005212,,,,197533839
base_bzip2d_rob192_64kB,394642142,5513,2.219740,0.450503,1031470,,,,21300138,1668107,,47904008,,1096050,,,,215295908
base_bzip2d_rob64_128kB,398089496,0,2.239130,0.446602,1059760,,,,28857707,1494781,,43170894,,1073150,,,,228104853
base_bzip2d_rob64_256kB,384891557,0,2.164896,0.461916,999650,,,,27096845,1483176,,43168965,,1012050,,,,215799254
base_bzip2d_rob64_64kB,404254624,0,2.273807,0.439791,1089449,,,,29714361,1516638,,43175432,,1103735,,,,234115559
base_bzip2d_rob96_128kB,392029025,0,2.205042,0.453506,1048945,,,,28728736,1560419,,45891063,,1066660,,,,224163995
base_bzip2d_rob96_256kB,378977941,0,2.131634,0.469124,989781,,,,27011665,1541377,,45887950,,1005846,,,,212012227
base_bzip2d_rob96_64kB,398105699,0,2.239222,0.446584,1078212,,,,29472019,1585508,,45899602,,1096839,,,,230082985
base_cg_rob128_128kB,315810301,397218,2.373237,0.421365,3611663,,,,71035746,43966564,,25448726,,9671617,1,,,198065547
base_cg_rob128_256kB,314470344,397248,2.363168,0.423161,3601549,,,,70847360,43960258,,25452034,,9677275,1,,,198468098
base_cg_rob128_64kB,317607787,397444,2.386745,0.418981,3615340,,,,71101356,43976205,,25451029,,9673747,1,,,198889337
base_cg_rob160_128kB,285699647,2709653,2.146964,0.465774,3280370,,,,66686490,46261692,,26280504,,7370446,1,,,71676416
base_cg_rob160_256kB,284434508,2693600,2.137457,0.467846,3267189,,,,66654665,46248755,,26283039,,7377562,1,,,72428400
base_cg_rob160_64kB,287420368,2701846,2.159895,0.462985,3280506,,,,66774735,46265641,,26282673,,7375416,1,,,72353627
base_cg_rob192_128kB,279605296,3542558,2.101166,0.475926,3265214,,,,67079046,48825428,,26985152,,6512901,1,,,27334526
base_cg_rob192_256kB,278295755,3524316,2.091326,0.478166,3251500,,,,67171548,48818105,,26982325,,6504237,1,,,27763741
base_cg_rob192_64kB,281302035,3534779,2.113917,0.473055,3268177,,,,67131772,48826261,,26984711,,6518625,1,,,27364964
base_cg_rob64_128kB,540329825,0,4.060451,0.246278,4279408,,,,52875191,33405709,,24657579,,8594753,1,,,444207107
base_cg_rob64_256kB,539020153,0,4.050609,0.246876,4272904,,,,52778221,33407242,,24657594,,8589020,1,,,444513470
base_cg_rob64_64kB,542403131,0,4.076031,0.245337,4283615,,,,52920699,33414308,,24657597,,8599058,1,,,445499553
base_cg_rob96_128kB,331410829,0,2.490471,0.401530,3545340,,,,51374944,36395940,,24855424,,10976102,1,,,235098421
base_cg_rob96_256kB,329942127,0,2.479435,0.403318,3537208,,,,51270850,36375176,,24855563,,10982572,1,,,235295118
base_cg_rob96_64kB,333250322,0,2.504295,0.399314,3548088,,,,51398128,36396608,,24853530,,10973428,1,,,236069373
base_consumer_rob128_128kB,103617965,4609,0.900033,1.111070,121419,,,,3333270,1228450,,19372818,13,238614,,,,8618319
